P,E_star,I_star,eig1_real,eig1_imag,eig2_real,eig2_imag,max_real_eig,stable
2.52,0.30105986798792567,0.2462770365474126,0.11395454153379204,1.3507012798580094,0.11395454153379204,-1.3507012798580094,0.11395454153379204,False
2.56,0.306147161665165,0.25321392626962463,0.1020999171744146,1.361189874190936,0.1020999171744146,-1.361189874190936,0.1020999171744146,False
2.6,0.31120384512962274,0.2601055256898258,0.08920473628222857,1.3700868599828884,0.08920473628222857,-1.3700868599828884,0.08920473628222857,False
2.64,0.31623520294407437,0.2669515287344131,0.07525427009110147,1.3773921846842077,0.07525427009110147,-1.3773921846842077,0.07525427009110147,False
2.68,0.3212460281238139,0.27375116528670534,0.06022989999635825,1.3831035938299037,0.06022989999635825,-1.3831035938299037,0.06022989999635825,False
2.72,0.3262406423366397,0.28050317629088833,0.04410943842233328,1.3872170573208529,0.04410943842233328,-1.3872170573208529,0.04410943842233328,False
2.7600000000000002,0.3312229024197797,0.28720578089114035,0.02686746883804647,1.3897272235412779,0.02686746883804647,-1.3897272235412779,0.02686746883804647,False
2.8000000000000003,0.33619619141272505,0.2938566356870971,0.00847573950870728,1.390627906629609,0.00847573950870728,-1.390627906629609,0.00847573950870728,False
2.84,0.34116339559818126,0.30045278626626026,-0.011096366186160528,1.3899126279316791,-0.011096366186160528,-1.3899126279316791,-0.011096366186160528,True
2.88,0.34612686572528945,0.30699061141707634,-0.031881243357917866,1.3875752201570808,-0.031881243357917866,-1.3875752201570808,-0.031881243357917866,True
2.92,0.35108836202880717,0.31346576087535777,-0.05391232526615816,1.3836105088408917,-0.05391232526615816,-1.3836105088408917,-0.05391232526615816,True
2.96,0.35604898219274667,0.3198730880686426,-0.07722314424638685,1.3780150825226154,-0.07722314424638685,-1.3780150825226154,-0.07722314424638685,True
3.0,0.36100907151493533,0.3262065803496456,-0.1018461431741843,1.3707881604936445,-0.1018461431741843,-1.3707881604936445,-0.1018461431741843,True
3.04,0.3659681161669427,0.3324592902560019,-0.12781119214518163,1.3619325638046127,-0.12781119214518163,-1.3619325638046127,-0.12781119214518163,True
3.08,0.370924619589895,0.33862327348940024,-0.15514375207578737,1.3514557856000378,-0.15514375207578737,-1.3514557856000378,-0.15514375207578737,True
3.12,0.375875966379225,0.34468954079503183,-0.18386265512554872,1.339371149788189,-0.18386265512554872,-1.339371149788189,-0.18386265512554872,True
3.16,0.3808182785799083,0.35064803378537046,-0.21397747668970826,1.3256990302175518,-0.21397747668970826,-1.3256990302175518,-0.21397747668970826,True
3.2,0.38574627373557036,0.3564876369954211,-0.24548551609222297,1.3104680855360848,-0.24548551609222297,-1.3104680855360848,-0.24548551609222297,True
3.24,0.3906531378833299,0.3621962406566774,-0.2783684540897957,1.2937164428294625,-0.2783684540897957,-1.2937164428294625,-0.2783684540897957,True
3.2800000000000002,0.3955304312944483,0.36776086980075756,-0.3125888293188017,1.275492739761597,-0.3125888293188017,-1.275492739761597,-0.3125888293188017,True
3.3200000000000003,0.4003680487794799,0.3731678944265346,-0.3480865660570398,1.2558569140153155,-0.3480865660570398,-1.2558569140153155,-0.3480865660570398,True
3.36,0.4051542590431484,0.3784033316691509,-0.3847758852663016,1.2348806148357392,-0.3847758852663016,-1.2348806148357392,-0.3847758852663016,True
3.4,0.4098758466935869,0.38345324303454775,-0.42254301709670844,1.2126471129959657,-0.42254301709670844,-1.2126471129959657,-0.42254301709670844,True
3.44,0.4145183752344726,0.3883042179424221,-0.4612451819783622,1.189250606786456,-0.4612451819783622,-1.189250606786456,-0.4612451819783622,True
3.48,0.41906657769322536,0.3929439193871831,-0.5007112818709508,1.164794869949485,-0.5007112818709508,-1.164794869949485,-0.5007112818709508,True
3.52,0.4235048648826313,0.3973616516730329,-0.5407446222544057,1.139391256927163,-0.5407446222544057,-1.139391256927163,-0.5407446222544057,True
3.56,0.42781792098159394,0.40154889707606944,-0.5811277591047304,1.1131561655103364,-0.5811277591047304,-1.1131561655103364,-0.5811277591047304,True
3.6,0.43199133662191114,0.4054997626403021,-0.6216292598627999,1.0862081404382193,-0.6216292598627999,-1.0862081404382193,-0.6216292598627999,True
3.64,0.4360122189580874,0.4092112845002537,-0.6620118613957295,1.058664849381836,-0.6620118613957295,-1.058664849381836,-0.6620118613957295,True
3.68,0.4398697137843553,0.4126835521694237,-0.702041242227158,1.0306401940481846,-0.702041242227158,-1.0306401940481846,-0.702041242227158,True
3.72,0.4435553880713861,0.4159196412305944,-0.7414945275453244,1.0022417787376956,-0.7414945275453244,-1.0022417787376956,-0.7414945275453244,True
3.7600000000000002,0.44706344089743216,0.4189253690408686,-0.7801676963619661,0.9735688996863707,-0.7801676963619661,-0.9735688996863707,-0.7801676963619661,True
3.8000000000000003,0.4503907367743325,0.42170891089658186,-0.8178812713494241,0.9447111316189611,-0.8178812713494241,-0.9447111316189611,-0.8178812713494241,True
3.84,0.45353667928099034,0.42428032760226525,-0.8544839690969681,0.9157475046755637,-0.8544839690969681,-0.9157475046755637,-0.8544839690969681,True
3.88,0.45650296007758057,0.42665105818060106,-0.8898542948404287,0.8867461998264633,-0.8898542948404287,-0.8867461998264633,-0.8898542948404287,True
3.92,0.45929322645144655,0.4288334250747717,-0.9239003141974111,0.8577646522507942,-0.9239003141974111,-0.8577646522507942,-0.9239003141974111,True
3.96,0.46191271009449086,0.43084018712078187,-0.9565579889362348,0.8288499392902041,-0.9565579889362348,-0.8288499392902041,-0.9565579889362348,True
4.0,0.4643678532831276,0.43268416166575896,-0.9877885209817676,0.800039336111029,-0.9877885209817676,-0.800039336111029,-0.9877885209817676,True
4.04,0.46666595907100933,0.4343779245134953,-1.0175751284986663,0.7713609397755055,-1.0175751284986663,-0.7713609397755055,-1.0175751284986663,True
4.08,0.46881488213657974,0.4359335866029816,-1.0459196093820968,0.7428342835868775,-1.0459196093820968,-0.7428342835868775,-1.0459196093820968,True
4.12,0.4708227682716058,0.4373626399553112,-1.0728389588190947,0.714470883107594,-1.0728389588190947,-0.714470883107594,-1.0728389588190947,True
4.16,0.4726978439439451,0.4386758621160374,-1.0983622194383307,0.6862746702156239,-1.0983622194383307,-0.6862746702156239,-1.0983622194383307,True
4.2,0.47444825301150156,0.4398832673370205,-1.1225276669853321,0.658242280697587,-1.1225276669853321,-0.658242280697587,-1.1225276669853321,True
4.24,0.47608193519560577,0.44099409328051037,-1.1453803762804493,0.6303631637887602,-1.1453803762804493,-0.6303631637887602,-1.1453803762804493,True
4.28,0.47760653987737384,0.4420168134001576,-1.1669701714971306,0.6026194784699711,-1.1669701714971306,-0.6026194784699711,-1.1669701714971306,True
4.32,0.4790293686803973,0.44295916689362747,-1.1873499388102906,0.5749857307394962,-1.1873499388102906,-0.5749857307394962,-1.1873499388102906,True
4.36,0.4803573408067256,0.44382819972498916,-1.206574265773571,0.5474280854103334,-1.206574265773571,-0.5474280854103334,-1.206574265773571,True
4.4,0.4815969758149516,0.44463031201849057,-1.224698364435578,0.5199032544302223,-1.224698364435578,-0.5199032544302223,-1.224698364435578,True
4.44,0.48275438942789206,0.44537130812585335,-1.2417772359192745,0.49235680856826564,-1.2417772359192745,-0.49235680856826564,-1.2417772359192745,True
4.48,0.48383529876843934,0.44605644696053803,-1.2578650355025336,0.4647206727688561,-1.2578650355025336,-0.4647206727688561,-1.2578650355025336,True
4.5200000000000005,0.4848450341354155,0.4466904909662226,-1.273014601443871,0.4369094171559994,-1.273014601443871,-0.4369094171559994,-1.273014601443871,True
4.5600000000000005,0.4857885552672844,0.4472777525168376,-1.2872771168599864,0.4088146916337691,-1.2872771168599864,-0.4088146916337691,-1.2872771168599864,True
4.6000000000000005,0.48667047016163717,0.44782213734865234,-1.3007018760338185,0.3802966745325661,-1.3007018760338185,-0.3802966745325661,-1.3007018760338185,True
4.64,0.48749505549313016,0.44832718457731874,-1.3133361343203966,0.35117045494314153,-1.3133361343203966,-0.35117045494314153,-1.3133361343203966,True
4.68,0.48826627753523927,0.44879610324371844,-1.3252250224155673,0.32118329405976,-1.3252250224155673,-0.32118329405976,-1.3252250224155673,True
4.72,0.48898781303590994,0.4492318055186087,-1.3364115102165002,0.2899741852132754,-1.3364115102165002,-0.2899741852132754,-1.3364115102165002,True
4.76,0.4896630695566095,0.4496369366754978,-1.3469364082586455,0.2569955798213105,-1.3469364082586455,-0.2569955798213105,-1.3469364082586455,True
4.8,0.4902952050255454,0.4500139020439967,-1.356838397284906,0.221342857794301,-1.356838397284906,-0.221342857794301,-1.356838397284906,True
4.84,0.4908871462854924,0.45036489119063305,-1.3661540782498345,0.1813105541448525,-1.3661540782498345,-0.1813105541448525,-1.3661540782498345,True
4.88,0.49144160655130026,0.450691899572273,-1.374918036878264,0.1328226881999722,-1.374918036878264,-0.1328226881999722,-1.374918036878264,True
4.92,0.49196110173837543,0.450996747884943,-1.3831629181974208,0.0570278409210248,-1.3831629181974208,-0.0570278409210248,-1.3831629181974208,True
4.96,0.4924479656436267,0.4512810993578998,-1.4926013490450134,0.0,-1.2892376657284104,0.0,-1.2892376657284104,True
5.0,0.49290436398770643,0.4515464751534417,-1.5504469204836147,0.0,-1.24598670806106,0.0,-1.24598670806106,True
5.04,0.4933323076424331,0.45179426836293474,-1.5929442175483572,0.0,-1.2172201012802817,0.0,-1.2172201012802817,True
5.08,0.49373366414273206,0.45202575591477373,-1.627716472834741,0.0,-1.1953660468975176,0.0,-1.1953660468975176,True
5.12,0.4941101691851531,0.45224210996924596,-1.6574703974101341,0.0,-1.1777662309707682,0.0,-1.1777662309707682,True
5.16,0.49446343661132214,0.4524444076184439,-1.6835641196783695,0.0,-1.1631080505886313,0.0,-1.1631080505886313,True
5.2,0.4947949676887025,0.4526336396746915,-1.7068049081424248,0.0,-1.1506270513009176,0.0,-1.1506270513009176,True
5.24,0.4951061597211948,0.45281071859884087,-1.7277250169799052,0.0,-1.1398312358129727,0.0,-1.1398312358129727,True
5.28,0.49539831390050043,0.45297648557284176,-1.746701021721307,0.0,-1.1303818759488384,0.0,-1.1303818759488384,True
5.32,0.49567264252381743,0.4531317168574676,-1.7640133298885656,0.0,-1.1220341428228684,0.0,-1.1220341428228684,True
5.36,0.49593027562136544,0.45327712950687993,-1.7798789697940665,0.0,-1.1146044518976765,0.0,-1.1146044518976765,True
5.4,0.4961722670430034,0.45341338651046686,-1.7944710523022018,0.0,-1.1079511281388321,0.0,-1.1079511281388321,True
5.44,0.4963996000532791,0.45354110143085014,-1.8079310119256309,0.0,-1.1019622849950992,0.0,-1.1019622849950992,True
5.48,0.4966131924719441,0.45366084258312656,-1.820376673696764,0.0,-1.0965478709459004,0.0,-1.0965478709459004,True
5.5200000000000005,0.49681390140448056,0.4537731368152468,-1.831907777394661,0.0,-1.0916342522465632,0.0,-1.0916342522465632,True
5.5600000000000005,0.49700252759518276,0.4538784729266795,-1.842609884644661,0.0,-1.0871604066113836,0.0,-1.0871604066113836,True
5.6000000000000005,0.49717981943628076,0.4539773047656147,-1.852557219472351,0.0,-1.0830751775225151,0.0,-1.0830751775225151,True
5.64,0.49734647666260134,0.45407005403829553,-1.861814783262692,0.0,-1.0793352484961045,0.0,-1.0793352484961045,True
5.68,0.4975031537588619,0.4541571128609753,-1.8704399626354375,0.0,-1.0759036190797573,0.0,-1.0759036190797573,True
5.72,0.497650463104367,0.4542388460808865,-1.8784837745098582,0.0,-1.072748438593517,0.0,-1.072748438593517,True
5.76,0.49778897787758936,0.45431559338993444,-1.885991846128548,0.0,-1.0698421001239662,0.0,-1.0698421001239662,True
5.8,0.49791923474486205,0.4543876712534508,-1.8930051978471032,0.0,-1.067160527239041,0.0,-1.067160527239041,True
5.84,0.49804173629487836,0.454455374652842,-1.8995608765869887,0.0,-1.0646826057515977,0.0,-1.0646826057515977,True
5.88,0.4981569534736036,0.4545189787417213,-1.905692474952217,0.0,-1.06238972593776,0.0,-1.06238972593776,True
5.92,0.4982653275305525,0.4545787402540183,-1.911430560531955,0.0,-1.0602654105989153,0.0,-1.0602654105989153,True
5.96,0.4983672721128031,0.4546348988950074,-1.9168030353129921,0.0,-1.058295009678248,0.0,-1.058295009678248,True
6.0,0.498463175058167,0.45468767856549364,-1.9218354386748886,0.0,-1.0564654478738587,0.0,-1.0564654478738587,True
